NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
COLRUYT GROUP,BE0974256852,,,,26.42,24.8,28.61,26.85,41.45,28.31,34.99,33.6,37.74,32.38,31.18,33.24,38.69,45.22,43.5,42.94,55.06,53.08,56.1,55.92,53.51,58.91
BEKAERT (D),BE0974258874,,,,30.45,10.45,21.68,25.68,25.06,27.58,35.02,36.99,36.87,46.29,37.58,33.73,31.32,45.4,46.43,59.83,59.6,64.62,66.79,70.5,72.42,70.83
AGEAS (EX-FORTIS),BE0974264930,,,,,,,67.52,72.68,78.97,43.26,39.29,43.97,41.85,35.89,32.59,37.72,48.83,37.4,44.54,54.01,66.83,65.88,72.1,74.99,76.42
VIOHALCO,BE0974271034,,,,,,,,,,,,,,,,,,,,,,,44.67,45.49,40.73
ANHEUSER-BUSCH INBEV,BE0974293251,,,,22.22,29.11,28.75,57.17,46.29,55.95,43.07,55.79,52.25,49.29,48.3,52.91,55.61,50.97,53.09,57.04,58.51,60.96,63.71,82.9,79.41,
UMICORE,BE0974320526,,,,,,,47.71,39.33,54.15,60.0,74.39,66.77,79.66,74.95,70.68,68.5,68.7,69.44,65.84,74.87,75.13,73.71,75.2,81.98,77.88
TITAN CEMENT,BE0974338700,,,,,,,,,,,,,,,,,,,,64.89,63.62,68.0,72.42,71.97,71.04
ARCH CAP.GP.,BMG0450A1053,,,,,,,,,,32.38,33.11,29.38,29.57,21.76,28.61,22.55,28.75,24.54,33.0,35.05,41.76,41.74,58.41,58.96,61.14
AXIS CAPITAL HDG.,BMG0692U1099,,,,,,34.79,40.07,35.44,33.59,35.77,36.26,32.89,36.11,30.19,40.66,40.01,37.91,40.82,40.17,37.07,43.36,44.97,63.48,62.44,60.17
CHINESE ESTATES HDG.,BMG2108M2182,,,,,,,,,41.48,39.36,35.25,37.11,35.55,36.49,36.23,33.46,34.82,52.26,54.25,51.3,46.62,47.34,43.72,48.51,44.55
