NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
BEACH ENERGY,AU000000BPT9,,,4389.0,4709.0,15647.0,27074.0,39380.0,56595.0,227068.0,453282.0,434385.0,438303.0,500962.0,567933.0,688090.0,816926.0,719632.0,405665.0,481895.0,542377.0,1373360.0,1316859.0,1153518.0,1162364.0,1245502.0,1157863.0
BLUESCOPE STEEL,AU000000BSL0,,,,,1453722.0,4153479.0,5421076.0,5895001.0,6724670.0,7442985.0,7952081.0,7122999.0,9247813.0,9772270.0,7841454.0,6791007.0,6469453.0,6106019.0,7608185.0,8579960.0,8849715.0,8054458.0,8633387.0,11748914.0,13105986.0,11412456.0
BWP TRUST,AU000000BWP3,,7320.0,10150.0,12996.0,18583.0,31375.0,37212.0,39416.0,44128.0,56294.0,46235.0,66602.0,81193.0,102367.0,109564.0,102940.0,108406.0,105383.0,115582.0,122585.0,110519.0,102658.0,119530.0,108525.0,108140.0,105675.0
COMMONWEALTH BK.OF AUS.,AU000000CBA7,6190771,6178767.0,6200956.0,8155729.0,8583967.0,13964117.0,17165838.0,18505096.0,22203873.0,29049088.0,26726912.0,34112464.0,43556275.0,50628439.0,47295190.0,36544510.0,32381228.0,29291120.0,31595921.0,32457010.0,29094341.0,25874998.0,24598988.0,20494940.0,25353330.0,38238927.0
CHALLENGER,AU000000CGF5,,,,,,,659599.0,1535120.0,1950277.0,2422798.0,1564073.0,2012226.0,1550170.0,1263009.0,1518483.0,1389767.0,1319530.0,1241739.0,1378153.0,1695672.0,1390350.0,1806802.0,919092.0,2113125.0,1272542.0,1874076.0
CIMIC GROUP DEAD - DELIST.11/05/22,AU000000CIM7,1896340,2042599.0,1881668.0,2324690.0,3072324.0,3503395.0,4332993.0,5378553.0,7379637.0,8783236.0,8056082.0,11877345.0,14766359.0,21916654.0,19543516.0,20200776.0,13146115.0,9442785.0,8331105.0,10592516.0,10465546.0,9869019.0,5990604.0,6903510.0,7691614.0,8721680.0
COCHLEAR,AU000000COH5,59819,80663.0,78732.0,120162.0,166251.0,215493.0,236089.0,300195.0,390541.0,510593.0,431676.0,606880.0,725489.0,787069.0,744070.0,681721.0,690469.0,767505.0,902046.0,1001031.0,1012036.0,1011188.0,1009003.0,1114463.0,1188379.0,1421129.0
COMPUTERSHARE,AU000000CPU5,95503,186397.0,215654.0,401109.0,415711.0,561547.0,752547.0,1007594.0,1350975.0,1599651.0,1148442.0,1822938.0,1648296.0,1653908.0,1993123.0,1881781.0,1736022.0,1839663.0,2085056.0,2276773.0,2185802.0,2253372.0,2493202.0,2237104.0,2909740.0,2854644.0
CHARTER HALL RETAIL REIT,AU000000CQR9,20713,25582.0,26235.0,32853.0,47232.0,79806.0,94444.0,100804.0,120746.0,181741.0,164579.0,181428.0,187247.0,213780.0,175721.0,156398.0,155055.0,144907.0,162720.0,174537.0,144089.0,137452.0,147272.0,139077.0,143361.0,139730.0
CSL,AU000000CSL8,230599,262240.0,246093.0,556589.0,816027.0,1001975.0,1878082.0,1918551.0,2311707.0,3046682.0,2686036.0,4093050.0,4320470.0,4639411.0,4742478.0,4926306.0,4929082.0,5629665.0,6833769.0,7532881.0,7934447.0,8619441.0,10982592.0,10109846.0,11789897.0,13970834.0
CSR DEAD - DEAD.10/07/24,AU000000CSR5,4132487,4126874.0,3505720.0,3257221.0,4086683.0,3656507.0,1592291.0,1877199.0,2408500.0,2746500.0,2333627.0,3252994.0,1957768.0,2027126.0,1778558.0,1521636.0,1463811.0,1532333.0,1826129.0,2007139.0,1905928.0,1387023.0,1637303.0,1555324.0,1707880.0,1751910.0
CLEANAWAY WASTE MANAGEMENT,AU000000CWY3,,,,,,,286863.0,337758.0,693623.0,1573525.0,1525431.0,1724070.0,2143404.0,2394492.0,2371617.0,1303287.0,1080467.0,1021933.0,1094578.0,1189805.0,1477500.0,1558854.0,1765429.0,1851057.0,2364794.0,2384873.0
DOWNER EDI,AU000000DOW2,185985,827044.0,659287.0,1147012.0,1352467.0,2231144.0,2610725.0,3113337.0,3860171.0,4849714.0,3747988.0,4967753.0,6370943.0,7405908.0,8910265.0,7172381.0,5451453.0,4890645.0,5284805.0,7641008.0,8901749.0,8689478.0,9153780.0,7960108.0,7772320.0,7500547.0
DEXUS STAPLED UNITS,AU000000DXS1,,,,,,,,594733.0,660074.0,312332.0,488573.0,664906.0,708973.0,772952.0,653901.0,541977.0,626076.0,681879.0,572957.0,733402.0,614031.0,615756.0,792115.0,643781.0,568809.0,565448.0
ELDERS,AU000000ELD6,2057883,2637271.0,2725705.0,3218747.0,2706944.0,1966529.0,2235410.0,2477329.0,2561255.0,2764968.0,2191709.0,1974379.0,2100999.0,2445949.0,2225334.0,1483510.0,1117642.0,1072964.0,1255024.0,1258691.0,1146797.0,1115228.0,1602624.0,1814205.0,2382604.0,2168696.0
ENERGY RES.OF AUS.,AU000000ERA9,131341,109679.0,99315.0,78696.0,117494.0,150880.0,182742.0,194263.0,243370.0,319214.0,332210.0,664398.0,581119.0,704005.0,436054.0,331367.0,313700.0,246775.0,225240.0,188804.0,153268.0,148058.0,192173.0,137766.0,33551.0,22319.0
FLIGHT CENTRE TRAVEL GP.,AU000000FLT9,982114,1162445.0,1310277.0,1631076.0,2462449.0,-911739.0,628385.0,669529.0,776308.0,1113492.0,1092677.0,1408633.0,1882365.0,1999476.0,2116861.0,1901797.0,1790632.0,1816742.0,2022491.0,2229709.0,2149740.0,2100396.0,391640.0,392773.0,1171234.0,1675625.0
GOODMAN GROUP,AU000000GMG2,,,,,,,,169475.0,578426.0,698537.0,305399.0,477351.0,678618.0,847770.0,824054.0,901236.0,1007936.0,1032846.0,1261194.0,1399752.0,1323672.0,1014733.0,1590586.0,1297455.0,1435612.0,1327040.0
GPT GROUP STAPLED UNITS,AU000000GPT8,249849,281032.0,274876.0,269948.0,343784.0,474211.0,520451.0,616293.0,763582.0,801252.0,710589.0,493090.0,574130.0,669548.0,666276.0,555048.0,506076.0,487796.0,538733.0,554782.0,534914.0,533686.0,548882.0,565986.0,562378.0,587714.0
GWA GROUP,AU000000GWA4,296304,332402.0,356641.0,281090.0,381877.0,510303.0,498505.0,454736.0,488676.0,593250.0,428282.0,595975.0,691889.0,689195.0,595024.0,504535.0,321017.0,290794.0,338377.0,278019.0,258157.0,271127.0,298425.0,291708.0,293543.0,268175.0
HILLS DEAD - DELIST.29/08/23,AU000000HIL8,227513,239605.0,237792.0,272863.0,373340.0,522200.0,590376.0,648926.0,755880.0,946435.0,860612.0,998156.0,1128651.0,1177694.0,1113830.0,421091.0,351009.0,258587.0,246044.0,217453.0,190399.0,175091.0,142889.0,118842.0,-7063.0,-6669.0
HARVEY NORMAN HOLDINGS,AU000000HVN7,153722,206927.0,273893.0,446953.0,736765.0,834474.0,949502.0,1018230.0,959246.0,1094480.0,960125.0,1689662.0,2531618.0,2790236.0,2342639.0,802801.0,2021833.0,1968200.0,2292409.0,2370516.0,2298869.0,2244708.0,3035430.0,2961744.0,2961804.0,2639364.0
INSURANCE AUS.GROUP,AU000000IAG3,1499680,1723421.0,1762854.0,1735596.0,2058331.0,5070451.0,5359974.0,5211763.0,5465940.0,7591471.0,5579234.0,7185349.0,8209831.0,9295859.0,9162457.0,9369561.0,10750802.0,9035981.0,9577554.0,8975750.0,5981795.0,5888008.0,6949291.0,6446351.0,6383803.0,9619803.0
INSIGNIA FINANCIAL,AU000000IFL2,,,,,,47213.0,171889.0,260539.0,343951.0,350123.0,282280.0,471363.0,709291.0,646389.0,660887.0,761703.0,699694.0,711618.0,711734.0,760969.0,638817.0,768254.0,946002.0,1302366.0,1374893.0,1292696.0
IGO,AU000000IGO4,,,,,2.0,40816.0,60518.0,61929.0,120868.0,199292.0,92138.0,91639.0,134306.0,193716.0,241913.0,244417.0,395530.0,312646.0,317916.0,434631.0,551488.0,606142.0,671636.0,418325.0,737274.0,600968.0
ILUKA RESOURCES,AU000000ILU1,143386,563078.0,451336.0,456741.0,528922.0,604394.0,633916.0,682793.0,780782.0,802683.0,661597.0,498106.0,900289.0,1660847.0,1103207.0,763817.0,618581.0,625121.0,591598.0,846227.0,960286.0,881563.0,758647.0,1109908.0,1114313.0,842949.0
INCITEC PIVOT,AU000000IPL1,,,,,,527735.0,856279.0,767632.0,847481.0,1227580.0,1953133.0,2956552.0,2976965.0,4221883.0,3610225.0,3093584.0,2631175.0,2590688.0,2568835.0,2731276.0,2745157.0,2624087.0,3022107.0,3096412.0,4368524.0,3533725.0
