NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
GPT GROUP STAPLED UNITS,AU000000GPT8,2018.26,1828.97,1805.41,1919.99,2446.56,3568.73,4949.55,5252.33,7659.98,6183.43,1081.93,1852.08,2396.06,2682.22,3393.55,2914.58,3563.77,3482.65,3755.04,4184.9,4895.7,4961.29,4130.85,4712.03,4493.04,4421.97
GWA GROUP,AU000000GWA4,186.71,161.22,127.27,163.9,208.28,321.42,371.63,363.43,500.85,498.1,305.19,546.29,757.97,627.42,668.22,744.97,627.6,404.54,630.45,688.47,729.55,913.42,1097.45,710.36,617.75,675.91
HILLS DEAD - DELIST.29/08/23,AU000000HIL8,6844.74,6579.51,6377.9,7625.16,10161.2,16474.96,19755.58,21558.63,27877.83,29053.19,8359.09,15945.36,15893.51,10173.15,11205.26,16169.39,10198.84,2176.53,2966.39,2275.15,1565.5,3333.71,1597.85,948.74,304.6,
HARVEY NORMAN HOLDINGS,AU000000HVN7,3531.79,3308.72,3899.9,3211.91,2525.36,3929.59,4427.33,4701.69,6523.58,9350.02,2860.0,6987.02,6910.56,5503.91,5584.45,7168.9,9112.94,9211.11,11948.5,11540.71,9471.18,12731.15,18667.8,17085.72,14821.23,16237.8
INSURANCE AUS.GROUP,AU000000IAG3,,,50.8,55.0,51.59,117.57,200.22,159.82,207.64,139.52,111.54,158.6,186.14,162.18,287.54,275.57,309.59,240.92,295.58,391.94,400.72,364.78,299.56,257.41,271.96,346.69
INSIGNIA FINANCIAL,AU000000IFL2,,,,,,86.6,167.97,142.88,240.91,140.29,63.41,142.32,257.9,205.03,306.49,297.69,302.58,233.53,302.33,381.88,191.79,258.2,165.94,178.92,173.3,108.81
IGO,AU000000IGO4,,,,63.63,81.16,322.66,374.18,647.29,1343.51,3034.03,776.24,1487.6,3584.91,2160.21,2373.87,1579.54,2002.74,864.95,1591.26,1936.63,1711.3,2110.34,2672.58,4742.04,5587.79,2665.52
ILUKA RESOURCES,AU000000ILU1,179.81,169.47,176.16,185.12,200.87,277.88,452.34,520.47,474.99,390.95,324.39,335.7,1085.74,2206.39,1188.46,989.76,707.81,585.28,736.34,1055.25,931.74,965.19,1430.81,2236.81,2334.44,1484.12
INCITEC PIVOT,AU000000IPL1,,,,,,84.84,119.72,90.05,214.49,872.02,229.46,544.79,900.21,698.72,697.68,586.19,671.77,508.22,710.32,723.23,640.81,565.67,588.05,670.76,720.72,583.97
IRESS,AU000000IRE2,,,55.72,50.12,43.75,85.79,140.95,159.15,281.74,285.39,174.74,381.05,528.35,446.89,553.17,544.44,585.68,497.09,637.65,724.04,713.66,803.2,706.35,769.83,639.69,558.89
INVOCARE DEAD - DELIST.27/11/23,AU000000IVC8,,,,,,94.48,138.39,177.69,261.35,341.95,199.92,331.23,522.15,620.15,763.64,735.0,818.54,675.53,857.89,1073.73,789.48,841.23,876.45,832.86,769.32,
JB HI-FI,AU000000JBH7,,,,,,78.6,124.1,144.48,240.9,546.3,294.72,876.12,1027.79,716.59,658.88,1035.4,886.34,1049.8,1498.26,1585.74,1258.68,2200.57,3347.61,3122.69,3172.29,3831.37
JAMES HARDIE INDUSTRIES CDI,AU000000JHX1,1002.65,965.35,1015.34,1674.92,2385.6,3306.33,3440.16,4291.85,5107.14,3685.68,1679.07,4779.27,4688.96,5823.57,7569.09,9194.74,8535.01,9466.61,12245.88,15296.58,10622.61,18954.82,27292.45,31530.95,22005.03,37285.16
LENDLEASE GROUP STAPLED UNITS,AU000000LLC3,4830.42,4546.52,3437.75,2547.32,2009.7,3153.98,4514.12,4668.23,6772.15,5825.88,1955.37,4351.57,5415.65,4988.15,6865.38,6378.73,9444.64,6474.26,8519.89,9772.87,7631.48,10451.21,8570.66,6646.03,5613.88,4601.17
MACMAHON HOLDINGS,AU000000MAH3,77.69,43.51,23.37,40.76,40.06,78.81,156.29,210.29,289.15,526.38,95.32,262.98,323.35,427.37,225.52,81.62,31.32,47.03,82.18,128.85,119.25,140.38,155.68,94.1,97.32,92.79
