NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
NEWCREST MINING DEAD - DELIST.08/11/23,AU000000NCM7,362.3,663.4,478.31,672.84,1196.56,2968.8,4406.94,5135.23,5986.91,14992.18,9433.46,13564.66,30036.12,28300.59,17308.08,7899.46,8355.55,9742.96,13857.35,13145.7,13746.38,14228.91,15576.98,14671.1,13583.03,13654.84
ORIGIN ENERGY (EX BORAL),AU000000ORG5,1625.41,431.3,696.41,1020.06,1650.26,2812.08,4073.1,4003.32,6081.32,6486.29,7527.79,13220.31,15133.66,16317.98,13149.15,14388.54,10544.63,5400.59,8896.48,12707.4,9214.8,8298.68,6135.93,7267.37,9356.92,10184.5
ORICA,AU000000ORI1,1452.52,1152.52,727.83,1150.52,1448.9,2932.39,4117.15,5205.29,6290.83,8363.71,3208.22,8086.89,9441.34,10404.43,9857.55,7976.58,5912.47,3778.57,5316.44,5534.75,4794.79,5490.61,3956.93,4263.24,4853.86,5104.7
OZ MINERALS DEAD - DELIST.03/05/23,AU000000OZL8,4.36,20.59,11.36,62.61,266.48,792.11,924.59,1947.3,3361.35,5415.23,1141.24,2906.89,5413.46,3678.89,2042.17,1038.87,900.04,1080.06,2179.32,2294.53,2488.6,1984.33,5750.94,6019.73,6314.97,6218.42
PERPETUAL,AU000000PPT9,450.07,474.63,715.48,847.97,658.01,1266.91,1857.84,2086.69,2507.55,2158.56,664.62,1397.91,1446.52,1098.2,1714.75,2072.35,1953.16,1362.43,1797.61,1953.37,1366.65,1244.96,1341.36,1479.54,1872.39,1865.66
QANTAS AIRWAYS,AU000000QAN2,3160.27,2725.01,2071.22,3310.18,3514.93,5196.51,5232.88,5966.45,8203.69,7966.47,2036.65,5354.88,5478.08,4074.83,3696.09,2499.67,4898.33,5715.55,5206.46,7729.54,6543.01,5588.33,7300.94,6896.56,7523.18,5852.87
QBE INSURANCE GROUP,AU000000QBE9,1448.02,1856.13,2219.93,2399.76,3015.21,5741.24,8806.83,12091.06,21905.71,21210.56,12963.37,19642.94,19664.93,13868.48,15581.35,14390.71,14024.43,10448.14,12958.12,11063.45,11496.23,12224.94,10579.01,12569.34,15269.76,16559.43
RAMSAY HEALTH CARE,AU000000RHC8,105.37,67.14,122.24,311.52,268.75,484.6,754.13,1167.11,1612.95,1753.72,1138.77,2290.94,3605.87,3929.62,6374.34,8868.24,10503.41,9435.12,10764.28,10660.05,8758.36,9901.99,11695.3,10646.92,10446.74,7679.08
ST BARBARA,AU000000SBM8,10.42,16.83,15.35,24.89,22.21,24.27,29.34,233.45,367.73,748.54,322.37,384.69,665.06,805.43,667.85,166.21,83.3,670.09,1081.05,1693.03,1722.76,1150.06,1135.87,658.87,296.4,77.56
SUNLAND GROUP DEAD - DELIST.30/10/23,AU000000SDG6,32.19,50.07,29.42,50.62,52.57,162.29,431.18,341.91,896.8,1041.04,70.77,199.46,178.79,157.57,240.81,260.54,254.53,183.13,218.98,218.04,164.8,148.94,275.59,286.92,178.54,6.54
SEEK,AU000000SEK6,,,,,,,,845.24,1756.0,1791.03,481.53,2137.77,2226.56,2393.22,3421.67,5121.48,4638.4,3781.18,4231.6,5676.54,4368.3,5043.57,7024.27,6900.44,5834.72,5965.93
SIMS,AU000000SGM7,314.61,279.37,238.82,313.5,477.98,807.86,1229.45,1014.32,2267.99,3963.11,2137.41,3540.65,3983.48,3310.79,2284.46,1780.96,1978.32,971.13,1892.53,2751.94,1671.11,1290.0,2101.08,2554.74,2077.62,1579.39
STOCKLAND STAPLED UNITS,AU000000SGP0,877.21,858.14,1485.91,1798.9,2439.52,4941.01,5861.02,6710.38,9844.64,9693.64,2810.33,8663.85,9153.39,7739.02,8209.78,7996.59,8583.38,7150.68,8719.19,7824.76,6056.94,7719.1,7706.55,7159.15,6161.91,7056.22
SONIC HEALTHCARE,AU000000SHL7,320.8,672.63,870.98,985.2,906.91,1582.48,2581.37,3262.4,3400.6,4438.5,3007.23,4713.09,4460.16,4948.32,5350.63,6403.28,6093.77,5390.27,6897.56,8007.1,8089.74,9184.06,11738.3,12126.79,10701.72,9182.03
SIGMA HEALTHCARE,AU000000SIG5,,,,,139.09,389.63,619.85,1891.6,1950.63,1089.86,590.77,949.89,526.97,776.18,777.66,667.43,791.47,629.99,970.41,748.34,475.06,399.19,545.37,359.78,445.03,1195.23
SANTOS,AU000000STO6,1677.43,1466.7,2061.53,1776.0,2056.41,2726.27,4129.87,5095.24,4745.85,6430.23,5725.46,9648.86,12446.01,14199.7,12406.25,12086.16,6111.27,4071.61,6255.46,8278.69,10266.33,9815.24,11659.98,17500.11,15612.72,14931.07
